sitename,electrificationpolename,kilometer,kilolon,kilolat,
函南駅,止２,114077,138.976225,35.108274,114075
函南駅,止１,114083,138.976115,35.108286,114085
函南駅,副３,114102,138.97595,35.108303,114100
函南駅,本３,114102,138.97595,35.108303,114100
函南駅,特３,114104,138.975895,35.108309,114105
函南駅,特３－１,114104,138.975895,35.108309,114105
函南駅,曲１,114117,138.975785,35.108322,114115
函南駅,特１,114150,138.9754,35.108364,114150
函南駅,特２,114150,138.9754,35.108364,114150
函南駅,本４,114150,138.9754,35.108364,114150
函南駅,特１－１,114157,138.975345,35.10837,114155
函南駅,特２－１,114157,138.975345,35.10837,114155
函南駅,副５－１,114186,138.975025,35.108406,114185
函南駅,副５－２,114186,138.975025,35.108406,114185
函南駅,本５,114186,138.975025,35.108406,114185
函南駅,副６,114218,138.97464,35.108448,114220
函南駅,本６,114218,138.97464,35.108448,114220
函南駅,副６－１,114243,138.974368,35.108478,114245
函南駅,本６－１,114243,138.974368,35.108478,114245
函南駅,副７,114252,138.974315,35.108484,114250
函南駅,本７,114252,138.974315,35.108484,114250
函南駅,副８－１,114287,138.973938,35.108518,114285
函南駅,副８－２,114287,138.973938,35.108518,114285
函南駅,本８,114287,138.973938,35.108518,114285
函南駅,副９－１,114323,138.973505,35.108567,114325
函南駅,副９－２,114323,138.973505,35.108567,114325
函南駅,本９,114323,138.973505,35.108567,114325
函南駅,副１０,114367,138.973065,35.108612,114365
函南駅,本１０,114367,138.973065,35.108612,114365
函南駅,副１１,114407,138.972635,35.108643,114405
函南駅,本１１,114407,138.972635,35.108643,114405
函南駅,副１２－１,114438,138.97226,35.108665,114440
函南駅,副１２－２,114438,138.97226,35.108665,114440
函南駅,本１２,114438,138.97226,35.108665,114440
函南駅,副１３－１,114473,138.971893,35.10868,114475
函南駅,副１３－２,114473,138.971893,35.10868,114475
函南駅,本１３,114473,138.971893,35.10868,114475
函南駅,副１４,114510,138.97151,35.108688,114510
函南駅,本１４,114510,138.97151,35.108688,114510
函南駅,副１５,114546,138.971115,35.108682,114545
函南駅,本１５,114546,138.971115,35.108682,114545
函南駅,副１６－１,114582,138.97072,35.108665,114580
函南駅,副１６－２,114582,138.97072,35.108665,114580
函南駅,本１６,114582,138.97072,35.108665,114580
函南駅,副１７－１,114619,138.97027,35.10863,114620
函南駅,副１７－２,114619,138.97027,35.10863,114620
函南駅,本１７,114619,138.97027,35.10863,114620
函南駅,副１８－１,114655,138.969895,35.108589,114655
函南駅,副１８－２,114655,138.969895,35.108589,114655
函南駅,本１８,114655,138.969895,35.108589,114655
函南駅,副１９,114691,138.96951,35.108537,114690
函南駅,本１９,114691,138.96951,35.108537,114690
函南駅,副２０,114728,138.969075,35.108467,114730
函南駅,本２０,114728,138.969075,35.108467,114730
函南駅,副２１,114765,138.968698,35.108396,114765
函南駅,本２１,114765,138.968698,35.108396,114765
函南駅,副２２,114801,138.96832,35.108318,114800
函南駅,本２２,114801,138.96832,35.108318,114800
函南駅,副２３,114837,138.967953,35.108241,114835
函南駅,本２３,114837,138.967953,35.108241,114835
函南駅,副２４,114882,138.96748,35.108143,114880
函南駅,本２４,114882,138.96748,35.108143,114880
函南駅,副２５,114927,138.967018,35.108046,114925
函南駅,本２５,114927,138.967018,35.108046,114925
函南駅,副２６,114972,138.966555,35.107949,114970
函南駅,本２６,114972,138.966555,35.107949,114970
函南～三島,副１,115017,138.966083,35.107851,115015
函南～三島,本１,115017,138.966083,35.107851,115015
函南～三島,副２,115062,138.96561,35.107751,115060
函南～三島,本２,115062,138.96561,35.107751,115060
函南～三島,副３,115107,138.965128,35.107653,115105
函南～三島,本３,115107,138.965128,35.107653,115105
函南～三島,副４,115152,138.964645,35.107552,115150
函南～三島,本４,115152,138.964645,35.107552,115150
函南～三島,副５,115198,138.96411,35.107439,115200
函南～三島,本５,115198,138.96411,35.107439,115200
函南～三島,副６,115234,138.963743,35.107362,115235
函南～三島,本６,115234,138.963743,35.107362,115235
函南～三島,副７,115411,138.96186,35.107097,115410
函南～三島,本７,115411,138.96186,35.107097,115410
函南～三島,副８,115447,138.961475,35.107097,115445
