“®‰ælon,“®‰ælat,“®‰ætime,“®‰æsec,kilolon,kilolat,kilometer
138.3894447,34.97268862,0:00:00,0,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:01,1,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:02,2,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:03,3,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:04,4,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:05,5,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:06,6,138.389638,34.972065,180195
138.3894447,34.97268862,0:00:07,7,138.389638,34.972065,180195
138.3894433,34.97268204,0:00:08,8,138.389638,34.972065,180195
138.3894384,34.97267954,0:00:09,9,138.389638,34.972065,180195
138.389435,34.97267728,0:00:10,10,138.389638,34.972065,180195
138.3894323,34.97267589,0:00:11,11,138.38959,34.97204,180200
138.38943,34.97267151,0:00:12,12,138.38959,34.97204,180200
138.3894282,34.97266785,0:00:13,13,138.38959,34.97204,180200
138.3894269,34.97266494,0:00:14,14,138.38959,34.97204,180200
138.389426,34.97266273,0:00:15,15,138.38959,34.97204,180200
138.3894254,34.97266113,0:00:16,16,138.38959,34.97204,180200
138.3894251,34.97266005,0:00:17,17,138.38959,34.97204,180200
138.3894251,34.97265939,0:00:18,18,138.38959,34.97204,180200
138.3894251,34.97265908,0:00:19,19,138.38959,34.97204,180200
138.3894254,34.97265905,0:00:20,20,138.38959,34.97204,180200
138.3894351,34.97264256,0:00:21,21,138.38959,34.97204,180200
138.3894457,34.97262838,0:00:22,22,138.38959,34.97204,180200
138.3894546,34.97261678,0:00:23,23,138.389638,34.972065,180195
138.3894619,34.97260755,0:00:24,24,138.389638,34.972065,180195
138.3894678,34.97260042,0:00:25,25,138.389638,34.972065,180195
138.3894723,34.97259513,0:00:26,26,138.389638,34.972065,180195
138.3894757,34.97259143,0:00:27,27,138.389638,34.972065,180195
138.3894782,34.97258905,0:00:28,28,138.389638,34.972065,180195
138.3894798,34.97258776,0:00:29,29,138.389638,34.972065,180195
138.3894807,34.97258733,0:00:30,30,138.389638,34.972065,180195
138.3894811,34.97258756,0:00:31,31,138.389638,34.972065,180195
138.3895403,34.97259435,0:00:32,32,138.389685,34.97209,180190
138.3895961,34.97260251,0:00:33,33,138.389733,34.972115,180185
138.3896604,34.97262084,0:00:34,34,138.389825,34.972165,180175
138.3897377,34.97264549,0:00:35,35,138.38987,34.972189,180170
138.3898231,34.97267731,0:00:36,36,138.38996,34.972238,180160
138.3899223,34.97271665,0:00:37,37,138.39005,34.972284,180150
138.390022,34.97276251,0:00:38,38,138.39014,34.97233,180140
138.3901164,34.97281915,0:00:39,39,138.390235,34.972383,180130
138.3902228,34.97288424,0:00:40,40,138.390375,34.97246,180115
138.3903464,34.9729512,0:00:41,41,138.390465,34.972509,180105
138.3905183,34.97303268,0:00:42,42,138.390645,34.972608,180085
138.3907118,34.9731166,0:00:43,43,138.390833,34.972707,180065
138.3909319,34.97320712,0:00:44,44,138.39106,34.97283,180040
138.3911764,34.97330861,0:00:45,45,138.391288,34.972952,180015
138.3914158,34.97340988,0:00:46,46,138.39152,34.973073,179990
138.3916471,34.97350887,0:00:47,47,138.391753,34.973191,179965
138.3918946,34.97361847,0:00:48,48,138.39199,34.973309,179940
138.3921384,34.97372355,0:00:49,49,138.392218,34.973428,179915
138.3923901,34.97383555,0:00:50,50,138.392455,34.973545,179890
138.392641,34.97395429,0:00:51,51,138.39273,34.973687,179860
138.3928954,34.97407427,0:00:52,52,138.392968,34.973805,179835
138.3931372,34.9741912,0:00:53,53,138.3932,34.973923,179810
