ÉLÉçíˆ,çƒê∂éûä‘
137405,0
137406,0.0441103
137407,0.0882206
137408,0.1323309
137409,0.1764412
137410,0.2205515
137411,0.2646618
137412,0.3087721
137413,0.3528824
137414,0.3969927
137415,0.441103
137416,0.4852133
137417,0.5293236
137418,0.5734339
137419,0.6175442
137420,0.6616545
137421,0.7057648
137422,0.7498751
137423,0.7939854
137424,0.8380957
137425,0.882206
137426,0.9263163
137427,0.9704266
137428,1.0145369
137429,1.0586472
137430,1.1027575
137431,1.1468678
137432,1.1909781
137433,1.2350884
137434,1.2791987
137435,1.323309
137436,1.3674193
137437,1.4115296
137438,1.4556399
137439,1.4997502
137440,1.5438605
137441,1.5879708
137442,1.6320811
137443,1.6761914
137444,1.7203017
137445,1.764412
137446,1.8085223
137447,1.8526326
137448,1.8967429
137449,1.9408532
137450,1.9849635
137451,2.0290738
137452,2.0731841
137453,2.1172944
137454,2.1614047
137455,2.205515
137456,2.2496253
137457,2.2937356
137458,2.3378459
137459,2.3819562
137460,2.4260665
137461,2.4701768
137462,2.5142871
137463,2.5583974
137464,2.6025077
137465,2.646618
137466,2.6907283
137467,2.7348386
137468,2.7789489
137469,2.8230592
137470,2.8671695
137471,2.9112798
137472,2.9553901
137473,2.9995004
137474,3.0436107
137475,3.087721
137476,3.1318313
137477,3.1759416
137478,3.2200519
137479,3.2641622
137480,3.3082725
137481,3.3523828
137482,3.3964931
137483,3.4406034
137484,3.4847137
137485,3.528824
137486,3.5729343
137487,3.6170446
137488,3.6611549
137489,3.7052652
137490,3.7493755
137491,3.7934858
137492,3.8375961
137493,3.8817064
137494,3.9258167
137495,3.969927
137496,4.0140373
137497,4.0581476
137498,4.1022579
137499,4.1463682
137500,4.1904785
137501,4.2345888
137502,4.2786991
137503,4.3228094
137504,4.3669197
137505,4.41103
137506,4.4551403
137507,4.4992506
137508,4.5433609
137509,4.5874712
137510,4.6315815
137511,4.6756918
137512,4.7198021
137513,4.7639124
137514,4.8080227
137515,4.852133
137516,4.8962433
137517,4.9403536
137518,4.9844639
137519,5.0285742
137520,5.0726845
137521,5.1167948
137522,5.1609051
137523,5.2050154
137524,5.2491257
137525,5.293236
137526,5.3373463
137527,5.3814566
137528,5.4255669
137529,5.4696772
137530,5.5137875
137531,5.5578978
137532,5.6020081
137533,5.6461184
137534,5.6902287
137535,5.734339
137536,5.7784493
137537,5.8225596
137538,5.8666699
137539,5.9107802
137540,5.9548905
137541,5.9990008
137542,6.0431111
137543,6.0872214
137544,6.1313317
137545,6.175442
137546,6.2195523
137547,6.2636626
137548,6.3077729
137549,6.3518832
137550,6.3959935
137551,6.4401038
137552,6.4842141
137553,6.5283244
137554,6.5724347
137555,6.616545
137556,6.6606553
137557,6.7047656
137558,6.7488759
137559,6.7929862
137560,6.8370965
137561,6.8812068
137562,6.9253171
137563,6.9694274
137564,7.0135377
137565,7.057648
137566,7.1017583
137567,7.1458686
137568,7.1899789
137569,7.2340892
137570,7.2781995
137571,7.3223098
137572,7.3664201
137573,7.4105304
137574,7.4546407
137575,7.498751
137576,7.5428613
137577,7.5869716
137578,7.6310819
137579,7.6751922
137580,7.7193025
137581,7.7634128
137582,7.8075231
137583,7.8516334
137584,7.8957437
137585,7.939854
137586,7.9839643
137587,8.0280746
137588,8.0721849
137589,8.1162952
137590,8.1604055
137591,8.2045158
137592,8.2486261
137593,8.2927364
137594,8.3368467
137595,8.380957
137596,8.4250673
137597,8.4691776
137598,8.5132879
137599,8.5573982
137600,8.6015085
137601,8.6456188
137602,8.6897291
137603,8.7338394
137604,8.7779497
137605,8.82206
137606,8.8661703
137607,8.9102806
137608,8.9543909
137609,8.9985012
137610,9.0426115
137611,9.0867218
137612,9.1308321
137613,9.1749424
137614,9.2190527
137615,9.263163
137616,9.3072733
137617,9.3513836
137618,9.3954939
137619,9.4396042
137620,9.4837145
137621,9.5278248
137622,9.5719351
137623,9.6160454
137624,9.6601557
137625,9.704266
137626,9.7483763
137627,9.7924866
137628,9.8365969
137629,9.8807072
137630,9.9248175
137631,9.9689278
137632,10.0130381
137633,10.0571484
137634,10.1012587
137635,10.145369
137636,10.1894793
137637,10.2335896
137638,10.2776999
137639,10.3218102
137640,10.3659205
137641,10.4100308
137642,10.4541411
137643,10.4982514
137644,10.5423617
137645,10.586472
137646,10.6305823
137647,10.6746926
137648,10.7188029
137649,10.7629132
137650,10.8070235
137651,10.8511338
137652,10.8952441
137653,10.9393544
137654,10.9834647
137655,11.027575
137656,11.0716853
137657,11.1157956
137658,11.1599059
137659,11.2040162
137660,11.2481265
137661,11.2922368
137662,11.3363471
137663,11.3804574
137664,11.4245677
137665,11.468678
137666,11.5127883
137667,11.5568986
137668,11.6010089
137669,11.6451192
137670,11.6892295
137671,11.7333398
137672,11.7774501
137673,11.8215604
137674,11.8656707
137675,11.909781
137676,11.9538913
137677,11.9980016
137678,12.0421119
137679,12.0862222
137680,12.1303325
137681,12.1744428
137682,12.2185531
137683,12.2626634
137684,12.3067737
137685,12.350884
137686,12.3949943
137687,12.4391046
137688,12.4832149
137689,12.5273252
137690,12.5714355
137691,12.6155458
137692,12.6596561
137693,12.7037664
137694,12.7478767
137695,12.791987
137696,12.8360973
137697,12.8802076
137698,12.9243179
137699,12.9684282
137700,13.0125385
137701,13.0566488
137702,13.1007591
137703,13.1448694
137704,13.1889797
137705,13.23309
137706,13.2772003
137707,13.3213106
137708,13.3654209
137709,13.4095312
137710,13.4536415
137711,13.4977518
137712,13.5418621
137713,13.5859724
137714,13.6300827
137715,13.674193
137716,13.7183033
137717,13.7624136
137718,13.8065239
137719,13.8506342
137720,13.8947445
137721,13.9388548
137722,13.9829651
137723,14.0270754
137724,14.0711857
137725,14.115296
137726,14.1594063
137727,14.2035166
137728,14.2476269
137729,14.2917372
137730,14.3358475
137731,14.3799578
137732,14.4240681
137733,14.4681784
137734,14.5122887
137735,14.556399
137736,14.6005093
137737,14.6446196
137738,14.6887299
137739,14.7328402
137740,14.7769505
137741,14.8210608
137742,14.8651711
137743,14.9092814
137744,14.9533917
137745,14.997502
137746,15.0416123
137747,15.0857226
137748,15.1298329
137749,15.1739432
137750,15.2180535
137751,15.2621638
137752,15.3062741
137753,15.3503844
137754,15.3944947
137755,15.438605
137756,15.4827153
137757,15.5268256
137758,15.5709359
137759,15.6150462
137760,15.6591565
137761,15.7032668
137762,15.7473771
137763,15.7914874
137764,15.8355977
137765,15.879708
137766,15.9238183
137767,15.9679286
137768,16.0120389
137769,16.0561492
137770,16.1002595
137771,16.1443698
137772,16.1884801
137773,16.2325904
137774,16.2767007
137775,16.320811
137776,16.3649213
137777,16.4090316
137778,16.4531419
137779,16.4972522
137780,16.5413625
137781,16.5854728
137782,16.6295831
137783,16.6736934
137784,16.7178037
137785,16.761914
137786,16.8060243
137787,16.8501346
137788,16.8942449
137789,16.9383552
137790,16.9824655
137791,17.0265758
137792,17.0706861
137793,17.1147964
137794,17.1589067
137795,17.203017
137796,17.2471273
137797,17.2912376
137798,17.3353479
137799,17.3794582
137800,17.4235685
137801,17.4676788
137802,17.5117891
137803,17.5558994
137804,17.6000097
137805,17.64412
137806,17.6882303
137807,17.7323406
137808,17.7764509
137809,17.8205612
137810,17.8646715
137811,17.9087818
137812,17.9528921
137813,17.9970024
137814,18.0411127
137815,18.085223
137816,18.1293333
137817,18.1734436
137818,18.2175539
137819,18.2616642
137820,18.3057745
137821,18.3498848
137822,18.3939951
137823,18.4381054
137824,18.4822157
137825,18.526326
137826,18.5704363
137827,18.6145466
137828,18.6586569
137829,18.7027672
137830,18.7468775
137831,18.7909878
137832,18.8350981
137833,18.8792084
137834,18.9233187
137835,18.967429
137836,19.0115393
137837,19.0556496
137838,19.0997599
137839,19.1438702
137840,19.1879805
137841,19.2320908
137842,19.2762011
137843,19.3203114
137844,19.3644217
137845,19.408532
137846,19.4526423
137847,19.4967526
137848,19.5408629
137849,19.5849732
137850,19.6290835
137851,19.6731938
137852,19.7173041
137853,19.7614144
137854,19.8055247
137855,19.849635
137856,19.8937453
137857,19.9378556
137858,19.9819659
137859,20.0260762
137860,20.0701865
137861,20.1142968
137862,20.1584071
137863,20.2025174
137864,20.2466277
137865,20.290738
137866,20.3348483
137867,20.3789586
137868,20.4230689
137869,20.4671792
137870,20.5112895
137871,20.5553998
137872,20.5995101
137873,20.6436204
137874,20.6877307
137875,20.731841
137876,20.7759513
137877,20.8200616
137878,20.8641719
137879,20.9082822
137880,20.9523925
137881,20.9965028
137882,21.0406131
137883,21.0847234
137884,21.1288337
137885,21.172944
137886,21.2170543
137887,21.2611646
137888,21.3052749
137889,21.3493852
137890,21.3934955
137891,21.4376058
137892,21.4817161
137893,21.5258264
137894,21.5699367
137895,21.614047
137896,21.6581573
137897,21.7022676
137898,21.7463779
137899,21.7904882
137900,21.8345985
137901,21.8787088
137902,21.9228191
137903,21.9669294
137904,22.0110397
137905,22.05515
137906,22.0992603
137907,22.1433706
137908,22.1874809
137909,22.2315912
137910,22.2757015
137911,22.3198118
137912,22.3639221
137913,22.4080324
137914,22.4521427
137915,22.496253
137916,22.5403633
137917,22.5844736
137918,22.6285839
137919,22.6726942
137920,22.7168045
137921,22.7609148
137922,22.8050251
137923,22.8491354
137924,22.8932457
137925,22.937356
137926,22.9814663
137927,23.0255766
137928,23.0696869
137929,23.1137972
137930,23.1579075
137931,23.2020178
137932,23.2461281
137933,23.2902384
137934,23.3343487
137935,23.378459
137936,23.4225693
137937,23.4666796
137938,23.5107899
137939,23.5549002
137940,23.5990105
137941,23.6431208
137942,23.6872311
137943,23.7313414
137944,23.7754517
137945,23.819562
137946,23.8636723
137947,23.9077826
137948,23.9518929
137949,23.9960032
137950,24.0401135
137951,24.0842238
137952,24.1283341
137953,24.1724444
137954,24.2165547
137955,24.260665
137956,24.3047753
137957,24.3488856
137958,24.3929959
137959,24.4371062
137960,24.4812165
137961,24.5253268
137962,24.5694371
137963,24.6135474
137964,24.6576577
137965,24.701768
137966,24.7458783
137967,24.7899886
137968,24.8340989
137969,24.8782092
137970,24.9223195
137971,24.9664298
137972,25.0105401
137973,25.0546504
137974,25.0987607
137975,25.142871
137976,25.1869813
137977,25.2310916
137978,25.2752019
137979,25.3193122
137980,25.3634225
137981,25.4075328
137982,25.4516431
137983,25.4957534
137984,25.5398637
137985,25.583974
137986,25.6280843
137987,25.6721946
137988,25.7163049
137989,25.7604152
137990,25.8045255
137991,25.8486358
137992,25.8927461
137993,25.9368564
137994,25.9809667
137995,26.025077
137996,26.0691873
137997,26.1132976
137998,26.1574079
137999,26.2015182
138000,26.2456285
138001,26.2897388
138002,26.3338491
138003,26.3779594
138004,26.4220697
138005,26.46618
138006,26.5102903
138007,26.5544006
138008,26.5985109
138009,26.6426212
138010,26.6867315
138011,26.7308418
138012,26.7749521
138013,26.8190624
138014,26.8631727
138015,26.907283
138016,26.9513933
138017,26.9955036
138018,27.0396139
138019,27.0837242
138020,27.1278345
138021,27.1719448
138022,27.2160551
138023,27.2601654
138024,27.3042757
138025,27.348386
138026,27.3924963
138027,27.4366066
138028,27.4807169
138029,27.5248272
138030,27.5689375
138031,27.6130478
138032,27.6571581
138033,27.7012684
138034,27.7453787
138035,27.789489
138036,27.8335993
138037,27.8777096
138038,27.9218199
138039,27.9659302
138040,28.0100405
138041,28.0541508
138042,28.0982611
138043,28.1423714
138044,28.1864817
138045,28.230592
138046,28.2747023
138047,28.3188126
138048,28.3629229
138049,28.4070332
138050,28.4511435
138051,28.4952538
138052,28.5393641
138053,28.5834744
138054,28.6275847
138055,28.671695
138056,28.7158053
138057,28.7599156
138058,28.8040259
138059,28.8481362
138060,28.8922465
138061,28.9363568
138062,28.9804671
138063,29.0245774
138064,29.0686877
138065,29.112798
138066,29.1569083
138067,29.2010186
138068,29.2451289
138069,29.2892392
138070,29.3333495
138071,29.3774598
138072,29.4215701
138073,29.4656804
138074,29.5097907
138075,29.553901
138076,29.5980113
138077,29.6421216
138078,29.6862319
138079,29.7303422
138080,29.7744525
138081,29.8185628
138082,29.8626731
138083,29.9067834
138084,29.9508937
138085,29.995004
138086,30.0391143
138087,30.0832246
138088,30.1273349
138089,30.1714452
138090,30.2155555
138091,30.2596658
138092,30.3037761
138093,30.3478864
138094,30.3919967
138095,30.436107
138096,30.4802173
138097,30.5243276
138098,30.5684379
138099,30.6125482
138100,30.6566585
138101,30.7007688
138102,30.7448791
138103,30.7889894
138104,30.8330997
138105,30.87721
138106,30.9213203
138107,30.9654306
138108,31.0095409
138109,31.0536512
138110,31.0977615
138111,31.1418718
138112,31.1859821
138113,31.2300924
138114,31.2742027
138115,31.318313
138116,31.3624233
138117,31.4065336
138118,31.4506439
138119,31.4947542
138120,31.5388645
138121,31.5829748
138122,31.6270851
138123,31.6711954
138124,31.7153057
138125,31.759416
138126,31.8035263
138127,31.8476366
138128,31.8917469
138129,31.9358572
138130,31.9799675
138131,32.0240778
138132,32.0681881
138133,32.1122984
138134,32.1564087
138135,32.200519
138136,32.2446293
138137,32.2887396
138138,32.3328499
138139,32.3769602
138140,32.4210705
138141,32.4651808
138142,32.5092911
138143,32.5534014
138144,32.5975117
138145,32.641622
138146,32.6857323
138147,32.7298426
138148,32.7739529
138149,32.8180632
138150,32.8621735
138151,32.9062838
138152,32.9503941
138153,32.9945044
138154,33.0386147
138155,33.082725
138156,33.1268353
138157,33.1709456
138158,33.2150559
138159,33.2591662
138160,33.3032765
138161,33.3473868
138162,33.3914971
138163,33.4356074
138164,33.4797177
138165,33.523828
138166,33.5679383
138167,33.6120486
138168,33.6561589
138169,33.7002692
138170,33.7443795
138171,33.7884898
138172,33.8326001
138173,33.8767104
138174,33.9208207
138175,33.964931
138176,34.0090413
138177,34.0531516
138178,34.0972619
138179,34.1413722
138180,34.1854825
138181,34.2295928
138182,34.2737031
138183,34.3178134
138184,34.3619237
138185,34.406034
138186,34.4501443
138187,34.4942546
138188,34.5383649
138189,34.5824752
138190,34.6265855
138191,34.6706958
138192,34.7148061
138193,34.7589164
138194,34.8030267
138195,34.847137
138196,34.8912473
138197,34.9353576
138198,34.9794679
138199,35.0235782
138200,35.0676885
138201,35.1117988
138202,35.1559091
138203,35.2000194
138204,35.2441297
138205,35.28824
138206,35.3323503
138207,35.3764606
138208,35.4205709
138209,35.4646812
138210,35.5087915
138211,35.5529018
138212,35.5970121
138213,35.6411224
138214,35.6852327
138215,35.729343
138216,35.7734533
138217,35.8175636
138218,35.8616739
138219,35.9057842
138220,35.9498945
138221,35.9940048
138222,36.0381151
138223,36.0822254
138224,36.1263357
138225,36.170446
138226,36.2145563
138227,36.2586666
138228,36.3027769
138229,36.3468872
138230,36.3909975
138231,36.4351078
138232,36.4792181
138233,36.5233284
138234,36.5674387
138235,36.611549
138236,36.6556593
138237,36.6997696
138238,36.7438799
138239,36.7879902
138240,36.8321005
138241,36.8762108
138242,36.9203211
138243,36.9644314
138244,37.0085417
138245,37.052652
138246,37.0967623
138247,37.1408726
138248,37.1849829
138249,37.2290932
138250,37.2732035
138251,37.3173138
138252,37.3614241
138253,37.4055344
138254,37.4496447
138255,37.493755
138256,37.5378653
138257,37.5819756
138258,37.6260859
138259,37.6701962
138260,37.7143065
138261,37.7584168
138262,37.8025271
138263,37.8466374
138264,37.8907477
138265,37.934858
138266,37.9789683
138267,38.0230786
138268,38.0671889
138269,38.1112992
138270,38.1554095
138271,38.1995198
138272,38.2436301
138273,38.2877404
138274,38.3318507
138275,38.375961
138276,38.4200713
138277,38.4641816
138278,38.5082919
138279,38.5524022
138280,38.5965125
138281,38.6406228
138282,38.6847331
138283,38.7288434
138284,38.7729537
138285,38.817064
138286,38.8611743
138287,38.9052846
138288,38.9493949
138289,38.9935052
138290,39.0376155
138291,39.0817258
138292,39.1258361
138293,39.1699464
138294,39.2140567
138295,39.258167
138296,39.3022773
138297,39.3463876
138298,39.3904979
138299,39.4346082
138300,39.4787185
138301,39.5228288
138302,39.5669391
138303,39.6110494
138304,39.6551597
138305,39.69927
138306,39.7433803
138307,39.7874906
138308,39.8316009
138309,39.8757112
138310,39.9198215
138311,39.9639318
138312,40.0080421
138313,40.0521524
138314,40.0962627
138315,40.140373
138316,40.1844833
138317,40.2285936
138318,40.2727039
138319,40.3168142
138320,40.3609245
138321,40.4050348
138322,40.4491451
138323,40.4932554
138324,40.5373657
138325,40.581476
138326,40.6255863
138327,40.6696966
138328,40.7138069
138329,40.7579172
138330,40.8020275
138331,40.8461378
138332,40.8902481
138333,40.9343584
138334,40.9784687
138335,41.022579
138336,41.0666893
138337,41.1107996
138338,41.1549099
138339,41.1990202
138340,41.2431305
138341,41.2872408
138342,41.3313511
138343,41.3754614
138344,41.4195717
138345,41.463682
138346,41.5077923
138347,41.5519026
138348,41.5960129
138349,41.6401232
138350,41.6842335
138351,41.7283438
138352,41.7724541
138353,41.8165644
138354,41.8606747
138355,41.904785
138356,41.9488953
138357,41.9930056
138358,42.0371159
138359,42.0812262
138360,42.1253365
138361,42.1694468
138362,42.2135571
138363,42.2576674
138364,42.3017777
138365,42.345888
138366,42.3899983
138367,42.4341086
138368,42.4782189
138369,42.5223292
138370,42.5664395
138371,42.6105498
138372,42.6546601
138373,42.6987704
138374,42.7428807
138375,42.786991
138376,42.8311013
138377,42.8752116
138378,42.9193219
138379,42.9634322
138380,43.0075425
138381,43.0516528
138382,43.0957631
138383,43.1398734
138384,43.1839837
138385,43.228094
138386,43.2722043
138387,43.3163146
138388,43.3604249
138389,43.4045352
138390,43.4486455
138391,43.4927558
138392,43.5368661
138393,43.5809764
138394,43.6250867
138395,43.669197
138396,43.7133073
138397,43.7574176
138398,43.8015279
138399,43.8456382
138400,43.8897485
138401,43.9338588
138402,43.9779691
138403,44.0220794
138404,44.0661897
138405,44.1103
138406,44.1544103
138407,44.1985206
138408,44.2426309
138409,44.2867412
138410,44.3308515
138411,44.3749618
138412,44.4190721
138413,44.4631824
138414,44.5072927
138415,44.551403
138416,44.5955133
138417,44.6396236
138418,44.6837339
138419,44.7278442
138420,44.7719545
138421,44.8160648
138422,44.8601751
138423,44.9042854
138424,44.9483957
138425,44.992506
138426,45.0366163
138427,45.0807266
138428,45.1248369
138429,45.1689472
138430,45.2130575
138431,45.2571678
138432,45.3012781
138433,45.3453884
138434,45.3894987
138435,45.433609
138436,45.4777193
138437,45.5218296
138438,45.5659399
138439,45.6100502
138440,45.6541605
138441,45.6982708
138442,45.7423811
138443,45.7864914
138444,45.8306017
138445,45.874712
138446,45.9188223
138447,45.9629326
138448,46.0070429
138449,46.0511532
138450,46.0952635
138451,46.1393738
138452,46.1834841
138453,46.2275944
138454,46.2717047
138455,46.315815
138456,46.3599253
138457,46.4040356
138458,46.4481459
138459,46.4922562
138460,46.5363665
138461,46.5804768
138462,46.6245871
138463,46.6686974
138464,46.7128077
138465,46.756918
138466,46.8010283
