kilometer,latitude,longitude
106280,35.098979,139.06113
106285,35.098985,139.061075
106290,35.098992,139.06102
106295,35.098998,139.060965
106300,35.099004,139.06091
106305,35.09901,139.060855
106310,35.099016,139.0608
106315,35.099022,139.060745
106320,35.099028,139.06069
106325,35.099034,139.060635
106330,35.09904,139.06058
106335,35.099046,139.060525
106340,35.099052,139.06047
106345,35.099058,139.060418
106350,35.099064,139.060365
106355,35.09907,139.060313
106360,35.099076,139.06026
106365,35.099082,139.060205
106370,35.099088,139.06015
106375,35.099094,139.060095
106380,35.0991,139.06004
106385,35.099106,139.059985
106390,35.099112,139.05993
106395,35.099118,139.059875
106400,35.099124,139.05982
106405,35.09913,139.059765
106410,35.099137,139.05971
106415,35.099143,139.059655
106420,35.099149,139.0596
106425,35.099155,139.059545
106430,35.099161,139.05949
106435,35.099167,139.059435
106440,35.099173,139.05938
106445,35.099179,139.059328
106450,35.099185,139.059275
106455,35.099191,139.059223
106460,35.099197,139.05917
106465,35.099203,139.059115
106470,35.099209,139.05906
106475,35.099215,139.059005
106480,35.099221,139.05895
106485,35.099227,139.058895
106490,35.099233,139.05884
106495,35.099239,139.058785
106500,35.099245,139.05873
106505,35.099251,139.058675
106510,35.099257,139.05862
106515,35.099263,139.058565
106520,35.099269,139.05851
106525,35.099275,139.058458
106530,35.099281,139.058405
106535,35.099287,139.058353
106540,35.099293,139.0583
106545,35.099299,139.058245
106550,35.099305,139.05819
106555,35.099311,139.058135
106560,35.099317,139.05808
106565,35.099323,139.058025
106570,35.099329,139.05797
106575,35.099335,139.057915
106580,35.099341,139.05786
106585,35.099347,139.057805
106590,35.099353,139.05775
106595,35.099359,139.057695
106600,35.099365,139.05764
106605,35.099371,139.057585
106610,35.099377,139.05753
106615,35.099383,139.057475
106620,35.099389,139.05742
106625,35.099395,139.057368
106630,35.099401,139.057315
106635,35.099406,139.057263
106640,35.099412,139.05721
106645,35.099418,139.057155
106650,35.099424,139.0571
106655,35.09943,139.057045
106660,35.099436,139.05699
106665,35.099442,139.056935
106670,35.099448,139.05688
106675,35.099454,139.056825
106680,35.09946,139.05677
106685,35.099466,139.056715
106690,35.099472,139.05666
106695,35.099478,139.056605
106700,35.099484,139.05655
106705,35.09949,139.056498
106710,35.099496,139.056445
106715,35.099502,139.056393
106720,35.099508,139.05634
106725,35.099514,139.056285
106730,35.09952,139.05623
106735,35.099526,139.056175
106740,35.099532,139.05612
106745,35.099538,139.056065
106750,35.099544,139.05601
106755,35.09955,139.055955
106760,35.099556,139.0559
106765,35.099562,139.055845
106770,35.099568,139.05579
106775,35.099574,139.055735
106780,35.09958,139.05568
106785,35.099586,139.055625
106790,35.099592,139.05557
106795,35.099597,139.055515
106800,35.099603,139.05546
106805,35.099609,139.055408
106810,35.099615,139.055355
106815,35.099621,139.055303
106820,35.099627,139.05525
106825,35.099633,139.055195
106830,35.099639,139.05514
106835,35.099645,139.055085
106840,35.099651,139.05503
106845,35.099657,139.054975
106850,35.099663,139.05492
106855,35.099669,139.054865
106860,35.099675,139.05481
106865,35.099681,139.054755
106870,35.099687,139.0547
106875,35.099692,139.054645
106880,35.099698,139.05459
106885,35.099704,139.054535
106890,35.09971,139.05448
106895,35.099716,139.054425
106900,35.099722,139.05437
106905,35.099728,139.054318
106910,35.099734,139.054265
106915,35.099739,139.054213
106920,35.099745,139.05416
106925,35.099751,139.054105
106930,35.099757,139.05405
106935,35.099762,139.053995
106940,35.099768,139.05394
106945,35.099774,139.053885
106950,35.09978,139.05383
106955,35.099785,139.053775
106960,35.099791,139.05372
106965,35.099797,139.053665
106970,35.099803,139.05361
106975,35.099809,139.053555
106980,35.099815,139.0535
106985,35.099821,139.053448
106990,35.099827,139.053395
106995,35.099832,139.053343
107000,35.099838,139.05329
107005,35.099844,139.053235
107010,35.09985,139.05318
107015,35.099855,139.053125
107020,35.099861,139.05307
107025,35.099867,139.053015
107030,35.099873,139.05296
107035,35.099879,139.052905
107040,35.099885,139.05285
107045,35.099891,139.052795
107050,35.099897,139.05274
107055,35.099902,139.052685
107060,35.099908,139.05263
107065,35.099914,139.052575
107070,35.09992,139.05252
107075,35.099926,139.052465
107080,35.099932,139.05241
107085,35.099938,139.052358
107090,35.099944,139.052305
107095,35.099949,139.052253
107100,35.099955,139.0522
107105,35.099961,139.052145
107110,35.099967,139.05209
107115,35.099973,139.052035
107120,35.099979,139.05198
107125,35.099985,139.051925
107130,35.099991,139.05187
107135,35.099996,139.051815
107140,35.100002,139.05176
107145,35.100008,139.051705
107150,35.100014,139.05165
107155,35.10002,139.051595
107160,35.100026,139.05154
107165,35.100032,139.051485
107170,35.100038,139.05143
107175,35.100043,139.051375
107180,35.100049,139.05132
107185,35.100055,139.051268
107190,35.100061,139.051215
107195,35.100067,139.051163
107200,35.100073,139.05111
107205,35.100079,139.051055
107210,35.100085,139.051
107215,35.10009,139.050945
107220,35.100096,139.05089
107225,35.100102,139.050835
107230,35.100108,139.05078
107235,35.100114,139.050725
107240,35.10012,139.05067
107245,35.100126,139.050615
107250,35.100132,139.05056
107255,35.100138,139.050505
107260,35.100144,139.05045
107265,35.10015,139.050398
107270,35.100157,139.050345
107275,35.100163,139.050293
107280,35.100169,139.05024
107285,35.100175,139.050185
107290,35.100181,139.05013
107295,35.100187,139.050075
107300,35.100193,139.05002
107305,35.100199,139.049965
107310,35.100205,139.04991
107315,35.100211,139.049855
107320,35.100217,139.0498
107325,35.100223,139.049745
107330,35.100229,139.04969
107335,35.100235,139.049635
107340,35.100241,139.04958
107345,35.100247,139.049525
107350,35.100253,139.04947
107355,35.100258,139.049415
107360,35.100264,139.04936
107365,35.10027,139.049308
107370,35.100275,139.049255
107375,35.100281,139.049203
107380,35.100286,139.04915
107385,35.100292,139.049095
107390,35.100297,139.04904
107395,35.100303,139.048985
107400,35.100308,139.04893
107405,35.100314,139.048875
107410,35.10032,139.04882
107415,35.100325,139.048765
107420,35.100331,139.04871
107425,35.100337,139.048655
107430,35.100343,139.0486
107435,35.100348,139.048545
107440,35.100354,139.04849
107445,35.10036,139.048435
107450,35.100367,139.04838
107455,35.100373,139.048325
107460,35.100379,139.04827
107465,35.100385,139.048218
107470,35.100392,139.048165
107475,35.100398,139.048113
107480,35.100404,139.04806
107485,35.100411,139.048005
107490,35.100417,139.04795
107495,35.100424,139.047895
107500,35.10043,139.04784
107505,35.100436,139.047785
107510,35.100443,139.04773
107515,35.100449,139.047675
107520,35.100455,139.04762
107525,35.100461,139.047565
107530,35.100468,139.04751
107535,35.100474,139.047455
107540,35.10048,139.0474
107545,35.100486,139.047348
107550,35.100493,139.047295
107555,35.100499,139.047243
107560,35.100505,139.04719
107565,35.100511,139.047135
107570,35.100518,139.04708
107575,35.100524,139.047025
107580,35.10053,139.04697
107585,35.100537,139.046915
107590,35.100543,139.04686
107595,35.10055,139.046805
107600,35.100556,139.04675
107605,35.100562,139.046695
107610,35.100568,139.04664
107615,35.100574,139.046585
107620,35.10058,139.04653
107625,35.100586,139.046478
107630,35.100592,139.046425
107635,35.100598,139.046373
107640,35.100604,139.04632
107645,35.10061,139.046265
107650,35.100616,139.04621
107655,35.100622,139.046155
107660,35.100628,139.0461
107665,35.100634,139.046045
107670,35.10064,139.04599
107675,35.100646,139.045935
107680,35.100652,139.04588
107685,35.100658,139.045825
107690,35.100664,139.04577
107695,35.10067,139.045715
107700,35.100676,139.04566
107705,35.100682,139.045605
107710,35.100688,139.04555
107715,35.100694,139.045495
107720,35.1007,139.04544
107725,35.100706,139.045388
107730,35.100712,139.045335
107735,35.100718,139.045283
107740,35.100724,139.04523
107745,35.10073,139.045175
107750,35.100736,139.04512
107755,35.100742,139.045065
107760,35.100748,139.04501
107765,35.100754,139.044955
107770,35.10076,139.0449
107775,35.100766,139.044845
107780,35.100772,139.04479
107785,35.100778,139.044735
